Q_bauxite_[t/h],date,time,Q_liquid_mill13_[m3/h],Q_liquid_mixer13_[m3/h],Q_liquid_mixer14_[m3/h],l/s_mill13_unloading,plus_160_mill13_unloading_[%],minus_56_mill13_unloading_[%],l/s_sliv_hydrocyclone1,plus_160_sliv_hydrocyclone1_[%],minus_56_sliv_hydrocyclone1_[%],l/s_peski_hydrocyclone1,plus_160_peski_hydrocyclone1_[%],minus_56_peski_hydrocyclone1_[%],l/s_mill14_unloading,plus_160_mill14_unloading_[%],minus_56_mill14_unloading_[%],l/s_sliv_hydrocyclone2,plus_160_sliv_hydrocyclone2_[%],minus_56_sliv_hydrocyclone2_[%],l/s_peski_hydrocyclone2,plus_160_peski_hydrocyclone2_[%],minus_56_peski_hydrocyclone2_[%]
83.7862,08/02/23,11:30÷11:43,49.4,87.0,121.0,2.6,30.71,52.16,4.3,2.73,85.32,1.1,73.58,11.44,1.9,49.87,25.73,4.4,10.11,64.46,1.1,81.62,2.62
72.9909,08/02/23,11:57÷12:00,44.0,79.6,133.0,2.7,22.19,63.92,4.0,5.30,80.86,,,,2.3,48.71,27.88,4.0,10.42,65.80,,,
104.2654,08/02/23,12:20÷12:23,43.0,79.0,132.0,1.9,25.43,60.32,3.1,3.33,81.74,,,,1.5,50.55,26.62,4.4,5.88,66.78,,,
47.7520,09/02/23,16:08÷16:20,46.4,76.7,100.8,4.0,15.79,70.30,6.8,1.61,93.50,1.5,47.05,34.20,2.4,21.96,48.47,4.7,2.71,77.47,1.9,28.57,45.69
56.1883,09/02/23,16:31÷16:36,46.4,76.1,100.7,3.4,22.96,60.90,5.3,3.00,87.04,,,,3.5,12.11,63.53,5.3,6.04,72.49,,,
58.2581,10/02/23,10:09÷10:20,44.8,93.7,140.2,3.7,17.67,65.80,4.9,1.23,90.90,1.4,68.92,11.50,7.5,5.72,80.40,4.7,2.71,77.5,1.1,70.47,5.8
60.4904,10/02/23,10:28÷10:33,44.9,94.9,139.2,3.6,26.55,54.90,4.5,1.55,88.20,,,,9.2,5.24,81.52,4.6,3.51,76.80,,,
72.6753,14/02/23,9:12÷9:27,49.8,79.1,93.8,2.8,35.09,49.70,3.4,5.73,76.90,0.9,79.18,8.40,1.9,41.66,40.80,3.3,21.31,43.6,0.7,69.95,16.8
65.5860,14/02/23,11:02÷11:12,43.5,68.5,122.6,2.7,32.25,50.90,4.8,1.07,90.90,,,,1.5,34.12,40.90,3.5,1.34,84.10,,,
73.9121,14/02/23,14:27÷14:33,47.5,74.1,85.1,2.6,31.55,50.70,3.2,21.00,64.80,,,,1.8,35.46,34.70,6.5,0.36,93.7,,,
55.2640,15/02/23,9:09÷9:17,55.1,92.6,124.6,4.2,27.50,62.60,7.1,0.77,89.40,1.7,57.12,10.90,5.9,0.89,86.48,11.1,0.98,91.6,1.0,53.45,9.5
50.9985,15/02/23,10:56÷11:00,57.1,79.2,104.2,4.2,16.30,82.40,5.9,1.93,89.00,,,,2.1,26.30,45.40,5.1,3.6,79.10,,,
60.8935,15/02/23,14:05÷14:08,49.7,70.1,110.7,3.1,22.63,60.30,4.5,2.79,87.95,,,,1.9,37.06,30.70,4.7,3.74,67.7,,,
70.5854,17/02/23,9:11÷9:23,47.3,87.3,117.0,3.0,27.27,54.95,6.1,1.11,89.63,1.0,62.81,21.23,2.2,34.54,33.79,4.9,3.43,68.45,0.7,51.29,27.14
29.0854,17/02/23,11:00÷11:05,52.6,54.7,81.3,5.7,6.98,82.22,7.1,0.44,87.52,,,,3.9,20.40,38.41,6.5,1.38,72.14,,,
84.1906,17/02/23,13:55÷14:00,46.7,80.9,119.5,2.4,16.67,67.94,3.5,7.54,72.43,,,,2.9,38.90,31.81,4.3,4.72,73.54,,,
72.0221,21/02/23,9:00÷9:05,47.0,94.0,111.0,3.1,18.04,64.58,3.9,9.24,65.99,1.4,64.33,16.85,2.3,34.60,37.31,4.2,7.34,61.35,0.7,74.37,7.07
63.4695,21/02/23,11:25÷11:32,53.6,95.6,105.8,3.7,16.91,66.02,5.9,0.98,92.46,,,,1.9,44.25,22.01,4.3,7.84,59.77,,,
56.4151,21/02/23,14:30÷14:39,36.3,70.6,78.2,3.0,18.99,66.22,5.4,2.41,82.94,,,,1.4,28.19,40.91,2.9,5.98,62.25,,,
85.9209,27/02/23,9:05÷9:15,53.2,82.0,118.6,2.5,14.36,71.49,4.9,3.65,95.91,1.1,33.12,48.80,0.8,34.06,36.41,4.5,5.5,90.85,0.8,63.65,11.66
61.0884,27/02/23,14:08÷14:11,54.5,85.7,123.8,3.6,3.91,68.29,5.5,0.78,91.48,,,,1.9,27.74,70.10,5.9,2.06,73.67,,,
44.2173,27/02/23,15:00÷15:05,54.4,90.7,128.3,5.1,14.92,67.58,9.0,0.25,95.66,,,,2.7,20.31,45.01,8.0,0.41,84.62,,,
44.8055,01/03/23,8:35÷8:50,53.9,96.5,102.0,5.2,22.45,57.47,5.9,1.39,90.48,1.1,50.48,28.92,2.0,24.37,39.67,4.9,4.40,66.65,1.0,42.81,20.18
63.8130,01/03/23,12:14÷12:19,42.5,79.1,106.8,3.0,20.46,64.03,7.4,0.76,95.71,,,,4.0,8.37,64.35,8.8,0.34,92.55,,,
66.9386,01/03/23,15:00÷15:06,48.8,92.5,125.6,3.3,33.59,48.60,6.0,1.21,89.39,,,,2.8,22.59,44.29,5.9,1.77,73.58,,,
73.8373,02/03/23,9:00÷9:15,41.5,99.5,102.9,3.0,26.11,61.48,4.5,3.54,83.29,1.0,72.95,8.59,2.5,34.55,40.79,8.0,0.06,98.15,0.7,66.7,14.6
63.4242,02/03/23,11:10÷11:15,44.5,85.0,110.1,3.2,25.99,57.19,5.3,1.03,91.50,,,,3.4,31.92,30.93,5.3,1.85,78.59,,,
57.4783,02/03/23,14:15÷14:20,39.1,94.4,129.5,3.6,22.32,61.23,6.0,0.76,92.53,,,,3.5,40.20,23.46,5.5,6.4,55.14,,,
68.1527,03/03/23,9:20÷9:35,52.1,113.5,135.1,3.8,38.99,45.32,5.1,4.90,78.76,0.9,56.40,27.65,3.2,45.55,19.07,3.6,15.22,52.48,0.6,66.83,16.81
79.1585,03/03/23,11:31÷11:37,52.7,124.0,134.5,3.5,17.22,64.11,2.7,17.74,50.36,,,,2.0,40.68,30.16,4.3,7.23,71.71,,,
98.0562,03/03/23,13:45÷13:48,50.5,124.9,123.2,2.8,26.86,59.17,6.5,1.43,88.26,,,,1.5,54.39,26.55,3.2,0.03,65.19,,,
60.6618,06/03/23,8:50÷9:10,49.5,93.5,123.8,3.7,16.21,68.09,4.7,2.62,88.14,0.9,55.62,27.15,2.8,27.56,40.23,4.8,14.47,55.26,1.6,81.53,0.65
48.6531,06/03/23,11:20÷11:27,43.6,64.7,73.3,3.5,14.94,70.66,4.8,3.66,79.78,,,,1.8,28.2,37.83,4.9,0.62,88.56,,,
56.4410,06/03/23,14:40÷14:45,49.5,98.9,131.9,4.1,19.26,63.41,5.1,1.93,83.81,,,,2.2,33.83,25.48,5.3,4.36,65.75,,,
64.6422,09/03/23,8:55÷9:09,45.6,73.4,98.3,2.9,23.01,62.32,5.7,0.93,94.45,1.9,44.51,27.84,2.1,31.53,34.71,5.0,1.13,76.37,0.9,48.3,16.45
155.1659,09/03/23,14:19÷14:22,43.4,78.8,80.4,1.3,34.24,33.28,3.8,1.40,91.09,,,,2.3,27.63,58.45,5.5,7.40,40.3,,,
79.7603,09/03/23,15:20÷15:25,43.3,88.2,116.8,2.6,28.33,55.40,4.1,0.94,93.20,,,,1.5,48.73,24.05,4.1,8.98,63.3,,,
