,Q_bauxite_[t/h],time,Q_liquid_mill13_[m3/h],l/s_mill13_unloading,plus_160_mill13_unloading_[%],minus_56_mill13_unloading_[%],average_time,P56,P160,de_[mm],S_[m2/kg]
22,44.8055,8:35÷8:50,53.9,5.2,22.45,57.47,2023-01-03 08:42:30,0.5747,0.7755,0.07866047061205306,156.5220632092606
23,63.813,12:14÷12:19,42.5,3.0,20.46,64.03,2023-01-03 12:16:30,0.6403,0.7954,0.053363945167616424,156.5220632092606
24,66.9386,15:00÷15:06,48.8,3.3,33.59,48.6,2023-01-03 15:03:00,0.486,0.6640999999999999,0.13540330416723872,156.5220632092606
145,91.5623,8:58÷9:10,45.0,3.3,32.08,42.55,2023-01-06 09:04:00,0.4255,0.6792,0.20133947023187523,61.1509464042523
146,97.1414,11:30÷11:37,49.1,4.2,17.93,66.95,2023-01-06 11:33:30,0.6695,0.8207,0.044908826486559944,61.1509464042523
147,104.0608,13:45÷13:50,47.8,5.6,14.31,63.39,2023-01-06 13:47:30,0.6339,0.8569,0.055415704505765606,61.1509464042523
25,73.8373,9:00÷9:15,41.5,3.0,26.11,61.48,2023-02-03 09:07:30,0.6148,0.7389,0.0620215660788941,198.5131935808979
26,63.4242,11:10÷11:15,44.5,3.2,25.99,57.19,2023-02-03 11:12:30,0.5719,0.7401,0.07998570506331515,198.5131935808979
27,57.4783,14:15÷14:20,39.1,3.6,22.32,61.23,2023-02-03 14:17:30,0.6123,0.7767999999999999,0.06294343827594263,198.5131935808979
175,61.9413,15:32÷15:40,57.2,4.9,14.1,70.7,2023-02-10 15:36:00,0.7070000000000001,0.859,0.035899631145289816,342.95893190048434
7,72.6753,9:12÷9:27,49.8,2.8,35.09,49.7,2023-02-14 09:19:30,0.49700000000000005,0.6491,0.1263296998652261,97.46005227864094
8,65.586,11:02÷11:12,43.5,2.7,32.25,50.9,2023-02-14 11:07:00,0.509,0.6775,0.11721484365613816,97.46005227864094
9,73.9121,14:27÷14:33,47.5,2.6,31.55,50.7,2023-02-14 14:30:00,0.507,0.6845,0.11868064171182437,97.46005227864094
10,55.264,9:09÷9:17,55.1,4.2,27.5,62.6,2023-02-15 09:13:00,0.626,0.725,0.05805727184858039,212.0681658160107
12,60.8935,14:05÷14:08,49.7,3.1,22.63,60.3,2023-02-15 14:06:30,0.603,0.7737,0.06649815099585484,212.0681658160107
13,70.5854,9:11÷9:23,47.3,3.0,27.27,54.95,2023-02-17 09:17:00,0.5495,0.7273000000000001,0.09149493012414198,134.56591678363682
15,84.1906,13:55÷14:00,46.7,2.4,16.67,67.94,2023-02-17 13:57:30,0.6794,0.8332999999999999,0.04234598293374918,134.56591678363682
16,72.0221,9:00÷9:05,47.0,3.1,18.04,64.58,2023-02-21 09:02:30,0.6457999999999999,0.8196,0.051660926651431155,238.3251705158656
